date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-13,12,call,276.0,0.84,0.87,0.855,1.1892746945082138,279.19,True,273.0994152046781
2018-06-01,2018-06-13,12,call,276.5,0.68,0.71,0.6950000000000001,1.0462346282891843,279.19,True,287.05035971222986
2018-06-01,2018-06-13,12,call,277.0,0.54,0.57,0.5549999999999999,0.916608323841217,279.19,True,294.59459459459424
2018-06-01,2018-06-13,12,call,277.5,0.42,0.46,0.44,0.799692967511568,279.19,True,284.0909090909086
2018-06-01,2018-06-13,12,call,278.0,0.33,0.36,0.345,0.6947456523047038,279.19,True,244.9275362318834
2018-06-01,2018-06-13,12,call,278.5,0.26,0.28,0.27,0.6009953204879679,279.19,True,155.5555555555547
2018-06-01,2018-06-13,12,call,279.0,0.2,0.22,0.21000000000000002,0.5176544149904814,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,279.5,0.16,0.17,0.165,0.44392996939141227,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,280.0,0.12,0.14,0.13,0.3790339052986411,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,280.5,0.1,0.11,0.10500000000000001,0.3221923502077786,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,281.0,0.08,0.09,0.08499999999999999,0.27265383612264316,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,282.0,0.05,0.06,0.055,0.19263274935803665,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,283.0,0.03,0.04,0.035,0.13364110995620138,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,284.0,0.02,0.03,0.025,0.09102561258004549,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,285.0,0.02,0.03,0.025,0.06086074651199258,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,290.0,0.0,0.01,0.005,0.0061389481759661635,279.19,False,155.5555555555547
2018-06-01,2018-06-13,12,call,295.0,0.0,0.01,0.005,0.00038671041880734836,279.19,False,155.5555555555547
2018-06-01,2018-06-15,14,call,25.0,248.47,248.68,248.575,247.45789926000114,276.6,True,1.216936538268142
2018-06-01,2018-06-15,14,call,30.0,243.47,243.68,243.575,242.46747911200137,276.6,True,1.2419172739402788
2018-06-01,2018-06-15,14,call,35.0,238.47,238.68,238.575,237.47705896400157,276.6,True,1.26794509064237
2018-06-01,2018-06-15,14,call,40.0,233.48,233.7,233.58999999999997,232.4866388160018,276.6,True,1.2885825591849172
2018-06-01,2018-06-15,14,call,45.0,228.48,228.69,228.58499999999998,227.49621866800203,276.6,True,1.318984185314016
2018-06-01,2018-06-15,14,call,50.0,223.49,223.7,223.595,222.50579852000226,276.6,True,1.3439477626959564
2018-06-01,2018-06-15,14,call,55.0,218.49,218.7,218.595,217.5153783720025,276.6,True,1.3746883506027237
2018-06-01,2018-06-15,14,call,60.0,213.48,213.7,213.58999999999997,212.5249582240027,276.6,True,1.4092420057119004
